来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title,stage1_status,stage1_reason
外文期刊,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,Lei Tian;Chengshen Lao;Zhanhao Yang,School of Electronic Engineering;Xi’an University of Posts and Telecommunications;West Chang’an Street;710121;Xi’an;Shaanxi;China,The Journal of Supercomputing,,2025/12/29,2025.0,10.1007/s11227-025-08149-y,Key Research and Development Program of Shaanxi Program;Science and Technology Project of Xi'an city;Natural Science Basic Research Program of Shaanxi;Scientific Research Program of Shaanxi Provincial Education Department,,english,CNKI-20260327180524663.csv,10.1007/S11227-025-08149-Y,10.1080/23311916.2025.2555341,Demand response for efficient power generation in smart grids using hyper–local weather prediction,exclude,E1 - 非本主题 / Not relevant
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025.0,10.3390/en19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,10.27753/d.cnki.gcqgx.2025.001522,考虑需求侧响应的微电网经济优化调度研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy",,2025/12/31,2025.0,10.1080/15567249.2025.2531448,,,english,CNKI-20260327180524663.csv,10.1080/15567249.2025.2531448,10.19912/j.0254-0096.tynxb.2023-1790,考虑分时电价下基于改进蛇算法的混合能源微电网群低碳经济优化调度研究,exclude,E1 - 非本主题 / Not relevant
,Parallel Multi-Model Energy Demand Forecasting with Cloud Redundancy:,"Baesmat, KH",,,"In this work, we present a novel approach for predicting short-term electrical energy consumption. Most energy consumption methods work well for their case study datasets. The proposed method utilizes a cloud computing platform that allows for integrating information from different sources, such as weather data and historical energy consumption, while employing machine learning techniques to achieve higher accuracy in forecasting. We collected detailed weather data from the ""Weather Underground Company"" website, known for its accurate records. Then, we studied past energy consumption data provided by PJM (focusing on DEO&K, which serves Cincinnati and northern Kentucky) and identified features that significantly impact energy consumption. We also introduced a processing step to ensure accurate predictions for holidays. Our goal is to predict the next 24 h of load consumption. We developed a hybrid, generalizable forecasting methodology with deviation correction. The methodology is characterized by fault tolerance due to distributed cloud deployment and an introduced voting mechanism. The proposed approach improved the accuracy of LSTM, SARIMAX, and SARIMAX + SVM, with MAPE values of 5.17%, 4.21%, and 2.21% reduced to 1.65%, 1.00%, and 0.88%, respectively, using our CM-LSTM-DC, CM-SARIMAX-DC, and CM-SARIMAX + SVM-DC models.",,2025.0,10.3390/forecast7020025,,,english,raw_data（wos).csv,10.3390/forecast7020025,10.27123/d.cnki.ghlju.2025.001668,基于联邦强化学习的微电网储能调度方法的研究与应用,exclude,E1 - 非本主题 / Not relevant
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,,2025/12/22,2025.0,10.1007/s44163-025-00696-w,,,english,CNKI-20260327180524663.csv,10.1007/S44163-025-00696-W,10.1016/j.rineng.2024.102766,Transforming smart homes via P2P energy trading using robust forecasting,include,
外文期刊,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,Mehdi Mohammadian Mehr;Hossein Farzin;Elaheh Mashhour,Department of Electrical Engineering;Faculty of Engineering; Shahid Chamran University of Ahvaz;Ahvaz;Iran,Engineering Reports,,2025/12/23,2025.0,10.1002/eng2.70570,"Research Council of Shahid Chamran University of Ahvaz, Iran(SCU.EE1404.37219)",,english,CNKI-20260327180524663.csv,10.1002/ENG2.70570,融合VMD-MPC算法的多微电网能量调度技术优化,融合VMD-MPC算法的多微电网能量调度技术优化,exclude,E1 - 非本主题 / Not relevant
硕士,人工智能在电力负荷预测中的应用研究,王兴隆,遂平中南院能源开发有限公司河南驻马店平顶垛风电场;,2025中国建筑经济研讨会科技与管理分论坛论文集,"新型电力系统建设深入推进,新能源大规模并网、电动汽车充电负荷的随机性增强以及需求侧响应机制的引入,给传统电力负荷预测方法带来了严峻挑战,时间序列模型和统计回归这些传统的方法很难有效捕捉电力负荷与气象、经济等因素间复杂的非线性关系,人工智能技术具备的强大的数据驱动和模式识别能力,为电力负荷预测开辟了新路径。本文梳理了人工智能在电力负荷预测领域的发展历程,探讨了不同模型在短期、超短期和中长期预测中的适用性与优缺点,重点分析了AI模型在数据预处理、特征工程、模型构建与评估等实际应用中的关键环节,并结合案例对比了AI模型与传统方法的性能差异,发现AI模型在预测精度上有明显提升。同时,也对实际应用中面临的数据质量、模型的可解释性、系统集成等挑战以及未来可能的优化发展方向进行了研究,希望能为相关的工程实践提供有益的参考。",2025/12/5,2025.0,10.26914/c.cnkihy.2025.077503,,,english,raw_data(CNKI).csv,10.26914/c.cnkihy.2025.077503,基于标准化麻雀搜索算法的微电网调度研究,基于标准化麻雀搜索算法的微电网调度研究,exclude,E3 - 方法不符 / Method mismatch
期刊,基于ADKDE-LSTM的变电站短期负荷功率区间预测研究,包育德;邱润韬;许博智,广东电网广州供电局,电器与能效管理技术,"针对变电站短期负荷预测中非线性适应差、区间估计不准的问题，提出一种自适应扩散核密度估计与长短期记忆网络(ADKDE-LSTM)融合的区间预测方法。融合历史负荷与气象数据，通过ADKDE方法分析误差分布，结合LSTM建模时序特征，构建95%置信水平的预测区间。基于某220 kV变电站数据的实验表明，模型在4个数据集的平均预测区间覆盖率(PICP)达0.914,预测区间宽度(PIAW)较对比模型降低20%～30%。所提方法能精准量化负荷不确定性，为电网规划提供可靠区间预测支撑。",2025/11/30,2025.0,10.16628/j.cnki.2095-8188.2025.11.006,国家自然科学基金资助项目(52307080),,chinese,raw_data(CNKI).csv,10.16628/j.cnki.2095-8188.2025.11.006,基于标准化麻雀搜索算法的微电网调度研究,基于标准化麻雀搜索算法的微电网调度研究,include,
期刊,基于ITFT模型的中期电力负荷概率预测,王仕龙;刘军;刘云祥;吕堂峰,国网江西省电力有限公司九江分公司,电工材料,"可再生能源规模化并网进程的加速，导致电力系统调度复杂度与不确定性呈指数级增长。相较于确定性负荷预测模型，概率预测能有效量化负荷不确定性，提升系统可观可测能力。由于传统时序融合Transformer(TFT)模型直接应用于中期负荷概率预测时，存在难以有效捕捉负荷间复杂时序依赖关系、模型训练耗时长以及现有方法无法确保分位数预测间序关系数学严谨性等技术瓶颈，本文构建了改进时序融合Transformer分位数回归模型（Interpretable Temporal Fusion Transformer,ITFT）。首先，基于负荷日周期律将时序重构为面板数据，将时刻点编码为静态特征标识符增强可解释性；其次，采用GRU门控单元替代LSTM实现架构轻量化；最后，在模型损失函数中引入反映分位数间约束关系及预测区间锐度的评价指标，有效规避了分位数交叉，并生成更紧致的预测区间。试验表明，ITFT模型显著提升了中期负荷概率预测的精度与可靠性。",2025/12/20,2025.0,10.16786/j.cnki.1671-8887.eem.2025.06.009,湖北省自然科学基金联合基金（2022CFD167）,,chinese,raw_data(CNKI).csv,10.16786/j.cnki.1671-8887.eem.2025.06.009,10.1007/S11227-025-08149-Y,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,include,
硕士,基于VMD-IPO-CNN-ATT-BiLSTM混合模型的短期电力负荷预测,于金鹏,沈阳农业大学,沈阳农业大学,"对未来某一时期的负荷开展精准预测对于电网稳定运行、提升电网经营效益等方面具有重要作用。本文考虑到需求侧所消耗电能具有显著的波动性和复杂性特点,采用变分模态分解技术（Variational Mode Decomposition,VMD）对原始数据进行处理,以卷积神经网络（Convolutional Neural Network,CNN）提取输入数据的特征,以双向长短期记忆网络（Bi-Directional Long Short-Term Memory,BiLSTM）构建样本数据的预测模型,并采用改进美洲狮算法（Improved Puma Optimizer,IPO）优化CNN和BiLSTM的超参数,同时在模型中引入注意力机制（Attention Mechanism,ATT）从而构建得出VMD-IPO-CNN-ATT-BiLSTM组合模型,将其应用于辽宁省某市短期负荷预测中,取得了理想效果。本文主要研究内容如下:（1）结合辽宁省某市在典型日下的真实负荷数据对影响负荷的多种因素进行深入分析,得出需求侧耗电量的变化规律和外界因素对负荷的影响效果。考虑到原始数据集中存在的缺失值和异常值情况,提出突变异常数值识别方法,并采用线性插值法对缺失数据进行补充,采用水平、垂直处理方法修正异常值。通过Pearson相关系数法筛选影响负荷的主要因素。（2）研究CNN和BiLSTM神经网络的原理和数据处理过程,并采用CNN提取样本数据中的特征信息,进一步采用ATT调整样本特征的输入权重,在此基础上采用BiLSTM对输入样本开展训练,构建CNN-ATT-BiLSTM组合预测模型。以辽宁某市的真实数据为例,分别采用CNN、LSTM、CNN-ATT-LSTM和CNN-ATT-BiLSTM模型对该算例开展应用分析,结果显示CNN-ATT-BiLSTM模型的均方根误差（Root Mean Square Error,RMSE）、平均绝对百分误差（Mean Absolute Percentage Error,MAPE）和决定系数（Coefficient of Determination,R2）均达到了最小值,表明该模型在挖掘和处理复杂负荷数据特征中的应用优势。（3）为进一步提升模型的预测效果,在PO算法中引入动态递减惯性权重与收敛因子、速度调整因子,融合Levy飞行与混沌初始化策略得出改进的IPO算法,用于优化模型超参数。并将VMD技术应用于原始数据的处理当中,从而构建VMD-IPO-CNN-ATT-BiLSTM组合模型。将该算法应用于辽宁某市的真实案例中,所得结果证明该模型在不同日类型、不同季节以及不同分解方式下所得均方根误差、平均绝对百分误差和决定系数均低于CNN-ATT-BiLSTM和IPO-CNN-ATT-BiLSTM模型,从而证明了其实用价值。",2025/12/1,2025.0,10.27327/d.cnki.gshnu.2025.001911,,,english,raw_data(CNKI).csv,10.27327/d.cnki.gshnu.2025.001911,10.26926/d.cnki.gbfgu.2024.000792,考虑源荷预测的改进多目标粒子群微电网优化调度研究,include,
