cited_paper,10.1002/ENG2.70570,10.1007/S11227-025-08149-Y,10.1007/S44163-025-00696-W,10.1016/j.energy.2025.137454,10.1016/j.rineng.2024.102766,10.1038/S41598-025-28907-5,10.1038/S41598-025-28986-4,10.1049/RPG2.70162,10.1080/15435075.2025.2563145,10.1080/15567249.2025.2531448,10.1080/23311916.2025.2555341,10.1109/TPWRS.2023.3266763,10.1155/DSN/7868626,10.13202/j.cnki.cer.2025.11.028,10.13245/j.hust.250644,10.13535/j.cnki.10-1507/n.2024.15.30,10.13612/j.cnki.cntp.2025.22.001,10.16183/j.cnki.jsjtu.2024.184,10.16618/j.cnki.1674-8417.2025.06.001,10.16628/j.cnki.2095-8188.2025.11.006,10.16786/j.cnki.1671-8887.eem.2025.06.009,10.19389/j.cnki.1003-0506.2025.03.034,10.19457/j.1001-2095.dqcd24909,10.19585/j.zjdl.202506005,10.19651/j.cnki.emt.2519013,10.19725/j.cnki.1007-2322.2024.0085,10.19768/j.cnki.dgjs.2025.14.035,10.19768/j.cnki.dgjs.2025.23.039,10.19769/j.zdhy.2025.24.043,10.19783/j.cnki.pspc.241701,10.19911/j.1003-0417.tyn20231115.01,10.19912/j.0254-0096.tynxb.2023-1790,10.26914/c.cnkihy.2025.077503,10.26918/d.cnki.ghngc.2025.001579,10.26926/d.cnki.gbfgu.2024.000792,10.27029/d.cnki.ggdgu.2025.000906,10.27029/d.cnki.ggdgu.2025.001070,10.27029/d.cnki.ggdgu.2025.002295,10.27034/d.cnki.ggxiu.2025.000594,10.27047/d.cnki.ggudu.2024.003176,10.27075/d.cnki.ghzdc.2025.001900,10.27123/d.cnki.ghlju.2025.001668,10.27327/d.cnki.gshnu.2025.001911,10.27327/d.cnki.gshnu.2025.001912,10.27398/d.cnki.gxalu.2024.000658,10.27753/d.cnki.gcqgx.2025.001522,10.27763/d.cnki.gahgc.2024.000190,10.3390/BUILDINGS16010170,10.3390/ELECTRONICS14244857,10.3390/EN19010061,10.3390/SU172411158,10.3390/forecast7020025,10.5152/electrica.2024.22107,一种双阶段电力数据异常分析模型,人工智能技术在10 kV配电网设计中的应用,基于云计算的电力系统短期负荷预测研究,基于分布式优化算法的电力系统负荷预测方法,基于大数据分析的电力调度自动化负荷预测模型研究,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,基于标准化麻雀搜索算法的微电网调度研究,基于深度学习-强化学习联合算法的电力调度信息化择优决策,基于深度学习的电力输配电线路节能降耗技术研究,基于深度学习的电网负荷预测与调度优化研究,基于火用损能效评估的多能耦合微电网双层协同优化方法,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,融合VMD-MPC算法的多微电网能量调度技术优化,面向智能化的智慧园区微电网调度优化方法
10.16786/j.cnki.1671-8887.eem.2025.06.009,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276448530110863,0.0,0.0,0.0,0.3913118960624632,0.0,0.3865103412619629,0.0,0.0,0.48536267169707553,0.3118047822311617,0.0,0.0,0.0,0.0,0.0,0.30304576336566325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35921060405354976,0.0,0.0,0.294174202707276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441236008058426,0.0
10.19389/j.cnki.1003-0506.2025.03.034,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.5917680237554188,0.577896743774047,0.5793654595023211,0.0,0.5698028822981898,0.0,0.0,0.0,0.0,0.461934885437156,0.0,0.0,0.0,0.0,0.0,0.0,0.47152096009644867,0.5582905262390825,0.0,0.0,0.0,0.0,0.5142594772265799,0.0,0.0,0.0,0.619750683009635,0.0,0.49442568981541163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814861645428298,0.0,0.0,0.0,0.5999169722544978,0.0,0.0,0.0,0.6126716648539868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946187253790689,0.0,0.0
10.19457/j.1001-2095.dqcd24909,0.5726734439533746,0.5934561337610871,0.0,0.0,0.34188172937891387,0.0,0.0,0.5409627460747114,0.0,0.0,0.50709255283711,0.0,0.0,0.4558423058385518,0.5322254277140611,0.4885042104591972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5373186100548618,0.3921652392120016,0.0,0.570298147826109,0.5237314873543454,0.0,0.0,0.5330017908890261,0.5161319060481777,0.5263613559678152,0.0,0.0,0.5312342737798692,0.0,0.0,0.0,0.0,0.5719694409972929,0.5209626352440592,0.5635328058148883,0.48349377841522817,0.0,0.0,0.3876574430285532,0.44136741475237473,0.5413127381832802,0.0,0.0,0.5251504931816429,0.41089070180665904,0.41089070180665904,0.0,0.0,0.0,0.0,0.6086053178377863,0.0,0.0,0.0,0.5149286505444371
10.19585/j.zjdl.202506005,0.0,0.0,0.0,0.0,0.0,0.0,0.3230291412348993,0.0,0.0,0.0,0.44985724569242663,0.0,0.5107539184552492,0.0,0.0,0.0,0.49147318718299055,0.0,0.4646418555974199,0.5482892649071496,0.0,0.47152096009644867,0.0,0.0,0.0,0.5083571247579156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015503913178176,0.0,0.0,0.0,0.0,0.0,0.39405520311955033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41702882811414954,0.0,0.0,0.0,0.5421374765483944,0.0,0.0,0.0,0.0,0.0,0.4735225469652655,0.0,0.0
10.19651/j.cnki.emt.2519013,0.0,0.5223032123987,0.0,0.0,0.0,0.44474958999666064,0.0,0.0,0.5143444998736397,0.5188745216627708,0.0,0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086116686897369,0.0,0.5582905262390825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091750772173156,0.5984437489312765,0.0,0.0,0.5069967213040162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34236839400873037,0.0,0.0,0.4751310967331989,0.0,0.0,0.0,0.0,0.49795500165523926,0.0,0.5378528742004771
10.19725/j.cnki.1007-2322.2024.0085,0.5539757358205141,0.0,0.0,0.0,0.0,0.0,0.0,0.6096139872764946,0.0,0.0,0.5431343229328283,0.0,0.5337155309697624,0.0,0.5387270543537271,0.0,0.0,0.0,0.5905099943842173,0.5701229064078333,0.0,0.0,0.0,0.5083571247579156,0.0,0.0,0.52999894000318,0.0,0.0,0.0,0.5083571247579156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49718307617612556,0.0,0.49765367076910283,0.3205132320860016,0.0,0.0,0.0,0.0,0.0,0.5458788187662073,0.0,0.0,0.450499099002703,0.0,0.3886658893356653,0.0,0.0,0.0,0.52999894000318,0.0,0.0,0.0,0.0,0.5214500094539749,0.5574535084876592,0.0,0.0
10.19768/j.cnki.dgjs.2025.14.035,0.0,0.0,0.0,0.0,0.0,0.48038446141526137,0.3442651863295481,0.59336610396393,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642383454426297,0.5378528742004771,0.0,0.0,0.0,0.0,0.0,0.52999894000318,0.0,0.0,0.0,0.0,0.0,0.0,0.49613893835683387,0.0,0.5345224838248488,0.0,0.0,0.5790660241435861,0.42491829279939874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265488284699746,0.0,0.0,0.5461920202486094,0.0,0.0,0.0,0.5503338836674921,0.0,0.5659164584181103,0.0,0.0,0.0,0.0,0.629940788348712,0.0,0.0,0.0,0.0,0.48666426339228763,0.49488120534872543
10.19768/j.cnki.dgjs.2025.23.039,0.4181210050035454,0.0,0.0,0.47565149415449404,0.0,0.0,0.0,0.48105119936474167,0.0,0.0,0.44877455520405946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5373186100548618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188745216627709,0.0,0.0,0.0,0.0,0.0,0.4139186771923578,0.0,0.0,0.0,0.0,0.0,0.45716359065567563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4708709557974188,0.0,0.0,0.0,0.0,0.5241424183609592,0.0,0.0,0.0,0.0,0.0,0.0
10.19769/j.zdhy.2025.24.043,0.0,0.0,0.3746343246326776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214636152117623,0.0,0.4726901187474408,0.0,0.0,0.0,0.0,0.3921652392120016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42683279491835413,0.0,0.4905114715879726,0.0,0.0,0.0,0.0,0.0,0.0,0.48666426339228763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38949041885226,0.0,0.0,0.0,0.0,0.0,0.5114781589870119,0.0,0.0,0.0,0.48380990291711146,0.5034965460952284
10.19783/j.cnki.pspc.241701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060243137049899,0.0,0.0,0.0,0.5640760748177662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276448530110863,0.5142594772265799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056498968474316,0.0,0.0,0.0,0.0,0.45993310550389993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43928055949306705,0.0,0.44961440151294857,0.0,0.0,0.0,0.0,0.5415303610738823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351295510095068,0.0,0.0
